"time","site_id","SAIFI","est_uncertainty"
2019-01-01 00:00:00,27,99.9,0
2019-01-01 00:00:00,34,148,0
2019-01-01 00:00:00,45,71.5,0
2019-01-01 00:00:00,64,143,0
2019-01-01 00:00:00,69,122,0
2019-01-01 00:00:00,74,157,0
2019-01-01 00:00:00,111,136,0
2019-01-01 00:00:00,135,140,0
2019-01-01 00:00:00,141,129,0
2019-01-01 00:00:00,142,48.0,0
2019-01-01 00:00:00,147,56.2,0
2019-01-01 00:00:00,148,126,0
2019-01-01 00:00:00,156,123,0
2019-01-01 00:00:00,178,133,0
2019-01-01 00:00:00,179,27.4,0
2019-01-01 00:00:00,185,47.2,0
2019-01-01 00:00:00,187,137,0
2019-01-01 00:00:00,247,75.8,0
2019-01-01 00:00:00,265,106,0
2019-01-01 00:00:00,272,94.0,0
2019-01-01 00:00:00,302,125,0
2019-01-01 00:00:00,318,108,0
2019-01-01 00:00:00,323,188,0
2019-01-01 00:00:00,337,111,0
2019-01-01 00:00:00,346,122,0
2019-01-01 00:00:00,350,93.7,0
2019-01-01 00:00:00,356,189,0
2019-01-01 00:00:00,366,86.3,0
2019-01-01 00:00:00,383,161,0
2019-01-01 00:00:00,385,104,0
2019-01-01 00:00:00,415,59.2,0
2019-01-01 00:00:00,429,60.4,0
2019-01-01 00:00:00,440,157,0
2019-01-01 00:00:00,447,97.9,0
2019-01-01 00:00:00,448,150,0
2020-01-01 00:00:00,3,161,0
2020-01-01 00:00:00,4,106,0
2020-01-01 00:00:00,6,88.5,0
2020-01-01 00:00:00,19,93.0,0
2020-01-01 00:00:00,27,58.5,0
2020-01-01 00:00:00,29,89.0,0
2020-01-01 00:00:00,34,99.0,0
2020-01-01 00:00:00,38,70.2,0
2020-01-01 00:00:00,40,78.9,0
2020-01-01 00:00:00,43,108,0
2020-01-01 00:00:00,44,94.4,0
2020-01-01 00:00:00,56,131,0
2020-01-01 00:00:00,63,107,0
2020-01-01 00:00:00,64,83.9,0
2020-01-01 00:00:00,68,89.7,0
2020-01-01 00:00:00,69,71.9,0
2020-01-01 00:00:00,71,73.9,0
2020-01-01 00:00:00,74,83.1,0
2020-01-01 00:00:00,76,107,0
2020-01-01 00:00:00,98,38.0,0
2020-01-01 00:00:00,103,117,0
2020-01-01 00:00:00,106,114,0
2020-01-01 00:00:00,111,77.4,0
2020-01-01 00:00:00,119,75.4,0
2020-01-01 00:00:00,125,75.8,0
2020-01-01 00:00:00,136,92.2,0
2020-01-01 00:00:00,141,84.2,0
2020-01-01 00:00:00,142,64.0,0
2020-01-01 00:00:00,143,104,0
2020-01-01 00:00:00,148,82.8,0
2020-01-01 00:00:00,166,67.1,0
2020-01-01 00:00:00,168,74.9,0
2020-01-01 00:00:00,172,41.9,0
2020-01-01 00:00:00,177,82.6,0
2020-01-01 00:00:00,179,14.0,0
2020-01-01 00:00:00,181,143,0
2020-01-01 00:00:00,185,18.1,0
2020-01-01 00:00:00,186,53.8,0
2020-01-01 00:00:00,187,74.6,0
2020-01-01 00:00:00,189,68.1,0
2020-01-01 00:00:00,193,76.6,0
2020-01-01 00:00:00,194,86.9,0
2020-01-01 00:00:00,203,131,0
2020-01-01 00:00:00,204,133,0
2020-01-01 00:00:00,212,134,0
2020-01-01 00:00:00,213,101,0
2020-01-01 00:00:00,217,115,0
2020-01-01 00:00:00,218,47.1,0
2020-01-01 00:00:00,230,147,0
2020-01-01 00:00:00,234,92.0,0
2020-01-01 00:00:00,235,152,0
2020-01-01 00:00:00,238,146,0
2020-01-01 00:00:00,242,107,0
2020-01-01 00:00:00,245,108,0
2020-01-01 00:00:00,249,79.4,0
2020-01-01 00:00:00,256,104,0
2020-01-01 00:00:00,257,71.3,0
2020-01-01 00:00:00,264,75.8,0
2020-01-01 00:00:00,265,83.2,0
2020-01-01 00:00:00,270,21.3,0
2020-01-01 00:00:00,274,132,0
2020-01-01 00:00:00,281,88.6,0
2020-01-01 00:00:00,287,59.5,0
2020-01-01 00:00:00,298,90.8,0
2020-01-01 00:00:00,301,57.3,0
2020-01-01 00:00:00,302,76.0,0
2020-01-01 00:00:00,303,94.6,0
2020-01-01 00:00:00,313,84.9,0
2020-01-01 00:00:00,317,109,0
2020-01-01 00:00:00,331,23.7,0
2020-01-01 00:00:00,332,91.3,0
2020-01-01 00:00:00,337,85.9,0
2020-01-01 00:00:00,346,73.7,0
2020-01-01 00:00:00,347,12.4,0
2020-01-01 00:00:00,350,56.6,0
2020-01-01 00:00:00,351,101,0
2020-01-01 00:00:00,352,83.2,0
2020-01-01 00:00:00,356,146,0
2020-01-01 00:00:00,357,164,0
2020-01-01 00:00:00,363,60.9,0
2020-01-01 00:00:00,365,87.6,0
2020-01-01 00:00:00,366,20.5,0
2020-01-01 00:00:00,379,23.5,0
2020-01-01 00:00:00,382,54.0,0
2020-01-01 00:00:00,385,47.7,0
2020-01-01 00:00:00,391,74.6,0
2020-01-01 00:00:00,394,86.1,0
2020-01-01 00:00:00,411,143,0
2020-01-01 00:00:00,415,90.5,0
2020-01-01 00:00:00,433,46.0,0
2020-01-01 00:00:00,440,74.5,0
2020-01-01 00:00:00,446,80.8,0
2020-01-01 00:00:00,447,79.1,0
2020-01-01 00:00:00,448,81.1,0
2020-01-01 00:00:00,450,79.6,0
2020-01-01 00:00:00,451,70.1,0
2020-01-01 00:00:00,456,134,0
2020-01-01 00:00:00,462,135,0
2020-01-01 00:00:00,463,28.9,0
2020-01-01 00:00:00,465,113,0
2020-01-01 00:00:00,472,57.6,0
2021-01-01 00:00:00,1,80.3,0
2021-01-01 00:00:00,3,175,0
2021-01-01 00:00:00,4,156,0
2021-01-01 00:00:00,6,90.3,0
2021-01-01 00:00:00,7,177,0
2021-01-01 00:00:00,9,107,0
2021-01-01 00:00:00,14,172,0
2021-01-01 00:00:00,16,91.2,0
2021-01-01 00:00:00,18,183,0
2021-01-01 00:00:00,19,117,0
2021-01-01 00:00:00,20,169,0
2021-01-01 00:00:00,21,78.1,0
2021-01-01 00:00:00,23,81.3,0
2021-01-01 00:00:00,24,142,0
2021-01-01 00:00:00,25,188,0
2021-01-01 00:00:00,26,186,0
2021-01-01 00:00:00,27,88.7,0
2021-01-01 00:00:00,28,77.8,0
2021-01-01 00:00:00,29,126,0
2021-01-01 00:00:00,30,141,0
2021-01-01 00:00:00,32,117,0
2021-01-01 00:00:00,34,143,0
2021-01-01 00:00:00,35,93.1,0
2021-01-01 00:00:00,36,120,0
2021-01-01 00:00:00,38,96.7,0
2021-01-01 00:00:00,40,104,0
2021-01-01 00:00:00,45,112,0
2021-01-01 00:00:00,46,50.4,0
2021-01-01 00:00:00,49,185,0
2021-01-01 00:00:00,50,116,0
2021-01-01 00:00:00,51,60.0,0
2021-01-01 00:00:00,52,168,0
2021-01-01 00:00:00,56,151,0
2021-01-01 00:00:00,57,182,0
2021-01-01 00:00:00,58,123,0
2021-01-01 00:00:00,59,110,0
2021-01-01 00:00:00,60,93.2,0
2021-01-01 00:00:00,61,113,0
2021-01-01 00:00:00,62,118,0
2021-01-01 00:00:00,63,128,0
2021-01-01 00:00:00,67,130,0
2021-01-01 00:00:00,69,85.0,0
2021-01-01 00:00:00,73,99.6,0
2021-01-01 00:00:00,74,138,0
2021-01-01 00:00:00,75,135,0
2021-01-01 00:00:00,80,171,0
2021-01-01 00:00:00,82,81.2,0
2021-01-01 00:00:00,85,94.3,0
2021-01-01 00:00:00,88,84.7,0
2021-01-01 00:00:00,89,211,0
2021-01-01 00:00:00,90,170,0
2021-01-01 00:00:00,91,93.9,0
2021-01-01 00:00:00,92,178,0
2021-01-01 00:00:00,93,169,0
2021-01-01 00:00:00,94,248,0
