ea_code9ch,total_hot_hours,total_windy_hours,total_hot_days,total_windy_days,total_precip_days,total_lightning_days,total_PL_days,total_PWL_days,total_precipitation,total_lightning_count,total_observed_days
30200002,865,721,51,28,33,24,13,0,2173.51,616.0,730
30200012,868,721,49,28,33,40,18,2,2117.71,1066.0,730
30200013,870,721,46,28,34,15,11,2,2143.81,272.0,730
30200014,867,721,46,28,34,23,13,2,2157.92,641.0,730
30200015,2598,2163,138,84,102,150,54,6,6399.38,3231.0,730
30200016,871,721,48,28,33,39,18,2,2099.23,998.0,730
30200048,835,721,47,28,35,31,17,2,2366.19,534.0,730
30200054,847,721,50,28,35,0,0,0,2349.12,0.0,730
30200061,845,721,48,28,39,19,8,0,2310.28,527.0,730
30200065,835,721,48,28,39,44,20,2,2318.17,1061.0,730
30200067,846,721,48,28,37,57,20,2,2290.75,1399.0,730
30200075,852,721,46,28,37,23,11,1,2270.34,468.0,730
30200076,852,721,46,28,36,57,20,2,2259.66,1392.0,730
30200082,845,721,48,28,39,13,5,0,2306.34,249.0,730
30200092,854,721,48,28,38,11,3,0,2272.25,235.0,730
30200098,846,721,48,28,38,1,0,0,2251.11,40.0,730
30200109,842,721,47,28,37,36,14,1,2190.17,781.0,730
30200126,854,721,48,28,38,70,24,2,2268.71,2736.0,730
30200134,844,812,46,37,38,38,14,1,2206.11,1152.0,730
30200137,841,721,47,28,38,80,26,2,2217.83,3335.0,730
30200141,843,812,47,37,37,29,13,0,2132.66,1033.0,730
30200149,840,721,47,28,38,35,15,1,2146.08,753.0,730
30200153,839,721,47,28,37,23,12,0,2111.72,484.0,730
30200155,839,721,47,28,38,11,5,0,2093.39,209.0,730
30200161,847,721,48,28,37,23,12,1,2231.03,454.0,730
30200172,1714,1442,94,56,72,20,12,0,4470.16,308.0,730
30200181,846,721,47,28,37,9,5,0,2177.39,184.0,730
30200184,840,721,47,28,37,67,23,2,2161.25,1888.0,730
30200198,844,721,47,28,37,49,18,2,2089.23,1465.0,730
30200204,860,721,46,28,36,56,20,2,2157.42,1356.0,730
30200207,862,721,46,28,36,18,11,1,2174.63,369.0,730
30200263,1562,1442,64,56,62,46,24,0,4101.5,1198.0,730
30200264,4578,4326,186,168,186,330,108,12,12215.48,9420.0,730
30200266,1744,1442,92,56,68,78,36,4,4167.53,1996.0,730
30200269,865,721,46,28,36,44,14,1,2122.26,890.0,730
30200271,856,721,47,28,36,39,16,2,2152.12,1011.0,730
30200273,856,721,47,28,36,37,15,2,2116.01,742.0,730
30200275,850,721,48,28,36,36,14,1,2121.48,976.0,730
30200277,853,721,46,28,35,72,20,2,2094.52,2566.0,730
30200283,860,721,47,28,35,31,11,2,2087.95,837.0,730
30200292,863,721,46,28,35,77,22,2,2024.1,2366.0,730
30200294,3236,2884,152,112,128,204,72,8,8080.85,7496.0,730
30200295,853,721,45,28,31,50,16,2,2036.78,992.0,730
30200299,2283,2163,96,84,96,237,63,6,5981.85,12096.0,730
30200384,1003,315,64,12,42,124,31,3,2627.53,9565.0,730
30200392,1276,872,48,36,66,246,48,12,5052.47,17632.0,730
30200397,285,1303,6,55,28,111,19,8,2339.03,6673.0,730
30300002,857,721,48,28,36,46,15,2,2051.97,1318.0,730
30300037,911,657,53,28,31,60,16,1,1907.89,3383.0,730
30300068,848,730,47,31,38,66,23,1,2108.79,3467.0,730
30300069,856,730,48,31,35,1,0,0,2068.78,40.0,730
30300072,887,593,51,20,34,51,18,1,1983.97,2176.0,730
30300077,1006,518,60,17,28,36,12,1,1795.81,1277.0,730
30300089,847,730,47,31,37,20,11,0,2054.12,575.0,730
30300091,844,657,47,28,37,73,23,1,2065.5,4188.0,730
30300101,874,657,48,28,34,10,5,0,1975.71,216.0,730
30300106,843,657,47,28,37,23,12,1,2048.19,597.0,730
30300123,845,657,47,28,37,57,20,1,2052.68,3060.0,730
30300126,1125,518,81,17,29,32,13,0,1641.94,1547.0,730
30300346,892,657,44,28,31,67,18,1,1878.72,3322.0,730
30300372,667,721,18,28,29,43,13,2,1955.25,1645.0,730
30300386,410,1303,10,55,26,83,18,9,2038.58,4534.0,730
30300394,812,546,28,14,29,78,21,2,1872.72,5848.0,730
30300396,456,489,10,21,26,81,19,8,2026.94,5255.0,730
