"kpi","time_grouping","space_boundary","space_grouping","avg_sites_reporting","est_uncertainty"
197,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 51, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.247233, 5.535211], [-0.244319, 5.536342], [-0.242427, 5.536034], [-0.24236, 5.529661], [-0.245206, 5.530383], [-0.248248, 5.533886], [-0.247299, 5.535154], [-0.247233, 5.535211]]]}}",51,0.923,1
216,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 49, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.148143, 5.90648], [-0.143223, 5.91475], [-0.143123, 5.914735], [-0.142268, 5.914522], [-0.141438, 5.914226], [-0.140641, 5.913851], [-0.139885, 5.913401], [-0.139176, 5.912878], [-0.138523, 5.912289], [-0.137931, 5.91164], [-0.137406, 5.910935], [-0.136953, 5.910183], [-0.136576, 5.909391], [-0.136279, 5.908565], [-0.136065, 5.907714], [-0.135935, 5.906847], [-0.135892, 5.905971], [-0.135935, 5.905095], [-0.136065, 5.904228], [-0.136279, 5.903377], [-0.136576, 5.902552], [-0.136953, 5.901759], [-0.137406, 5.901007], [-0.137931, 5.900302], [-0.138523, 5.899653], [-0.139176, 5.899064], [-0.139454, 5.898859], [-0.148143, 5.90648]]]}}",49,0.967,1
183,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 217, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.278969, 5.627479], [-0.278829, 5.629783], [-0.276774, 5.633647], [-0.27454, 5.634579], [-0.270443, 5.630262], [-0.27664, 5.626713], [-0.278969, 5.627479]]]}}",217,0.983,1
25.6,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 288, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.149287, 5.640751], [-0.149062, 5.640695], [-0.148232, 5.640399], [-0.147435, 5.640024], [-0.146679, 5.639573], [-0.145971, 5.63905], [-0.145318, 5.638461], [-0.144726, 5.637811], [-0.144201, 5.637106], [-0.143747, 5.636354], [-0.143371, 5.635561], [-0.143074, 5.634735], [-0.142859, 5.633884], [-0.14273, 5.633016], [-0.142687, 5.63214], [-0.14273, 5.631264], [-0.142859, 5.630396], [-0.143074, 5.629545], [-0.143371, 5.628719], [-0.143747, 5.627926], [-0.144201, 5.627173], [-0.144726, 5.626468], [-0.145318, 5.625818], [-0.145971, 5.625229], [-0.146679, 5.624707], [-0.147435, 5.624256], [-0.148232, 5.62388], [-0.149062, 5.623585], [-0.149917, 5.623372], [-0.150789, 5.623243], [-0.15167, 5.6232], [-0.15255, 5.623243], [-0.153422, 5.623372], [-0.154278, 5.623585], [-0.155108, 5.62388], [-0.155905, 5.624256], [-0.156661, 5.624707], [-0.157369, 5.625229], [-0.158022, 5.625818], [-0.158614, 5.626468], [-0.159139, 5.627173], [-0.159592, 5.627926], [-0.159969, 5.628719], [-0.160266, 5.629545], [-0.16048, 5.630396], [-0.160563, 5.630949], [-0.149287, 5.640751]]]}}",288,0.981,1
48.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 172, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.23955, 5.654074], [-0.238775, 5.654267], [-0.237903, 5.654396], [-0.237022, 5.654439], [-0.236142, 5.654396], [-0.23527, 5.654267], [-0.234798, 5.65415], [-0.232333, 5.641465], [-0.232641, 5.641356], [-0.240494, 5.641386], [-0.240628, 5.641457], [-0.242627, 5.64584], [-0.23955, 5.654074]]]}}",172,0.983,1
274,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 420, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.083895, 6.016315], [-0.085546, 6.017304], [-0.085449, 6.017953], [-0.085234, 6.018804], [-0.084937, 6.019629], [-0.084561, 6.020422], [-0.084135, 6.021127], [-0.069249, 6.021281], [-0.069169, 6.021174], [-0.068716, 6.020422], [-0.068339, 6.019629], [-0.068042, 6.018804], [-0.067828, 6.017953], [-0.067698, 6.017086], [-0.067655, 6.016211], [-0.067698, 6.015335], [-0.067828, 6.014468], [-0.068042, 6.013617], [-0.068339, 6.012792], [-0.068716, 6.011999], [-0.068892, 6.011707], [-0.083895, 6.016315]]]}}",420,0.977,1
33.2,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 96, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.166157, 5.577008], [-0.166166, 5.577187], [-0.166123, 5.578063], [-0.165994, 5.578931], [-0.165779, 5.579782], [-0.165482, 5.580608], [-0.165105, 5.581402], [-0.164652, 5.582154], [-0.164127, 5.582859], [-0.163535, 5.583509], [-0.162882, 5.584098], [-0.162174, 5.584621], [-0.161418, 5.585072], [-0.160621, 5.585447], [-0.159791, 5.585743], [-0.158936, 5.585956], [-0.158064, 5.586085], [-0.157183, 5.586128], [-0.156302, 5.586085], [-0.15543, 5.585956], [-0.154575, 5.585743], [-0.153745, 5.585447], [-0.152948, 5.585072], [-0.152192, 5.584621], [-0.151484, 5.584098], [-0.150831, 5.583509], [-0.150239, 5.582859], [-0.149714, 5.582154], [-0.149261, 5.581402], [-0.148884, 5.580608], [-0.148587, 5.579782], [-0.148372, 5.578931], [-0.148243, 5.578063], [-0.1482, 5.577187], [-0.148243, 5.576311], [-0.148372, 5.575443], [-0.148587, 5.574592], [-0.148884, 5.573766], [-0.149261, 5.572972], [-0.149714, 5.57222], [-0.150239, 5.571515], [-0.150831, 5.570865], [-0.151484, 5.570276], [-0.152192, 5.569753], [-0.152948, 5.569302], [-0.153745, 5.568927], [-0.154575, 5.568631], [-0.15543, 5.568418], [-0.156302, 5.568289], [-0.157183, 5.568246], [-0.158064, 5.568289], [-0.158098, 5.568294], [-0.166157, 5.577008]]]}}",96,0.983,1
123,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 403, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.250755, 5.582125], [-0.245161, 5.587421], [-0.241484, 5.58419], [-0.241294, 5.583921], [-0.240806, 5.580564], [-0.248563, 5.577689], [-0.250755, 5.582125]]]}}",403,0.979,1
406,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 455, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.283217, 5.647408], [-0.280569, 5.641256], [-0.281644, 5.638609], [-0.282814, 5.638152], [-0.287753, 5.639541], [-0.283217, 5.647408]]]}}",455,0.981,1
179,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 17, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.242067, 5.676776], [-0.233624, 5.690075], [-0.233601, 5.690064], [-0.232845, 5.689613], [-0.232137, 5.68909], [-0.231484, 5.688501], [-0.230892, 5.687851], [-0.230367, 5.687147], [-0.229914, 5.686394], [-0.229537, 5.685601], [-0.22924, 5.684775], [-0.229025, 5.683924], [-0.228896, 5.683057], [-0.228853, 5.68218], [-0.228896, 5.681304], [-0.229025, 5.680437], [-0.22924, 5.679586], [-0.229537, 5.67876], [-0.229914, 5.677967], [-0.230367, 5.677214], [-0.230892, 5.67651], [-0.231484, 5.67586], [-0.232137, 5.675271], [-0.232845, 5.674748], [-0.233601, 5.674297], [-0.234398, 5.673922], [-0.235228, 5.673626], [-0.235249, 5.673621], [-0.242067, 5.676776]]]}}",17,0.983,1
286,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 356, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.271292, 5.525604], [-0.26149, 5.531206], [-0.261354, 5.530717], [-0.264533, 5.524106], [-0.26794, 5.520183], [-0.268049, 5.520222], [-0.268846, 5.520597], [-0.269602, 5.521049], [-0.270311, 5.521571], [-0.270964, 5.522161], [-0.271145, 5.52236], [-0.271292, 5.525604]]]}}",356,0.983,1
188,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 16, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.139861, 5.685825], [-0.136997, 5.685182], [-0.138059, 5.677502], [-0.14385, 5.679081], [-0.139861, 5.685825]]]}}",16,0.983,1
71.8,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 221, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.206306, 5.577218], [-0.202841, 5.576249], [-0.200391, 5.570716], [-0.20396, 5.570217], [-0.20604, 5.575398], [-0.206306, 5.577218]]]}}",221,0.980,1
